"participant_id","complex","simple","ambiguous","unambiguous","nfc","ospan","asq","stroop","crt","iq","nfc_rescaled","ospan_rescaled","asq_rescaled","stroop_rescaled","iq_rescaled","crt_rescaled","study"
1,0.75,1,0.555555555555556,1,4.16666666666667,1,22,0.335937533536232,0.666666666666667,8,0.791666666666667,1,0.454545454545455,0.335937533536232,0.875,0.666666666666667,"pilot"
2,0.333333333333333,0.666666666666667,0.333333333333333,1,3.83333333333333,0.823958333333333,28,0.26169862001884,0.166666666666667,5,0.708333333333332,0.719269102990033,0.636363636363636,0.26169862001884,0.5,0.166666666666667,"pilot"
3,0.083333333333333,0.75,0.222222222222222,1,5,1,24,0.125021157004582,0.833333333333333,9,1,1,0.515151515151515,0.125021157004582,1,0.833333333333333,"pilot"
4,0.833333333333333,1,0.444444444444444,1,3.66666666666667,0.909375,27,0.101273038191146,0.4,8,0.666666666666668,0.855481727574751,0.606060606060606,0.101273038191146,0.875,0.4,"pilot"
5,0.333333333333333,0.916666666666667,0.444444444444444,1,3,0.844791666666667,12,0.858239932691441,0.666666666666667,5,0.5,0.75249169435216,0.151515151515152,0.858239932691441,0.5,0.666666666666667,"pilot"
6,0.333333333333333,0.833333333333333,0.333333333333333,1,3.5,0.9375,14,0.217136384302537,0.666666666666667,6,0.625,0.900332225913621,0.212121212121212,0.217136384302537,0.625,0.666666666666667,"pilot"
7,0.583333333333333,0.5,0.666666666666667,1,3,0.861458333333333,22,0.85622239297381,0,6,0.5,0.77906976744186,0.454545454545455,0.85622239297381,0.625,0,"pilot"
8,0.5,0.333333333333333,0.666666666666667,1,3.83333333333333,0.9875,24,0.741192580605004,0,4,0.708333333333332,0.980066445182724,0.515151515151515,0.741192580605004,0.375,0,"pilot"
9,0.75,0.833333333333333,0.444444444444444,1,3.66666666666667,0.878125,18,0.476728483317246,0.333333333333333,2,0.666666666666668,0.805647840531561,0.333333333333333,0.476728483317246,0.125,0.333333333333333,"pilot"
10,0.416666666666667,1,0.444444444444444,0.96969696969697,3.66666666666667,0.372916666666667,29,0.478605493717725,0,1,0.666666666666668,0,0.666666666666667,0.478605493717725,0,0,"pilot"
11,0.5,0.916666666666667,0.333333333333333,1,2.33333333333333,0.891666666666667,36,0.285862754627376,0.333333333333333,6,0.333333333333332,0.827242524916944,0.878787878787879,0.285862754627376,0.625,0.333333333333333,"pilot"
12,0.666666666666667,0.75,0.666666666666667,1,1.66666666666667,0.95625,18,0.418821343150726,0.166666666666667,1,0.166666666666668,0.930232558139535,0.333333333333333,0.418821343150726,0,0.166666666666667,"pilot"
13,0.833333333333333,1,0.666666666666667,1,3.33333333333333,0.8875,22,0.552488905226015,0.333333333333333,6,0.583333333333332,0.820598006644518,0.454545454545455,0.552488905226015,0.625,0.333333333333333,"pilot"
14,0.75,1,0.444444444444444,1,3.5,0.9875,17,0.158400477341312,0.333333333333333,6,0.625,0.980066445182724,0.303030303030303,0.158400477341312,0.625,0.333333333333333,"pilot"
15,0.666666666666667,1,0.555555555555556,0.96969696969697,2.5,1,37,0.575797324147286,0.666666666666667,8,0.375,1,0.909090909090909,0.575797324147286,0.875,0.666666666666667,"pilot"
16,0.5,0.666666666666667,0.666666666666667,1,3.66666666666667,0.801041666666667,26,0.633430514030115,0,6,0.666666666666668,0.682724252491695,0.575757575757576,0.633430514030115,0.625,0,"pilot"
17,0.083333333333333,1,0.222222222222222,1,5,1,12,0.477534932468902,1,7,1,1,0.151515151515152,0.477534932468902,0.75,1,"pilot"
18,0.5,0.583333333333333,0.666666666666667,1,3.83333333333333,0.815625,15,0.527880681842572,0.5,7,0.708333333333332,0.705980066445183,0.242424242424242,0.527880681842572,0.75,0.5,"pilot"
19,0.666666666666667,0.75,0.666666666666667,1,3.33333333333333,0.875,24,0.376762664354366,0.5,5,0.583333333333332,0.800664451827242,0.515151515151515,0.376762664354366,0.5,0.5,"pilot"
20,0.416666666666667,0.166666666666667,0.444444444444444,1,4,0.905208333333333,7,0.631760367793198,0.166666666666667,5,0.75,0.848837209302325,0,0.631760367793198,0.5,0.166666666666667,"pilot"
21,0.416666666666667,0.833333333333333,0.333333333333333,0.96969696969697,2.33333333333333,1,18,0.303447270949649,0.333333333333333,4,0.333333333333332,1,0.333333333333333,0.303447270949649,0.375,0.333333333333333,"pilot"
22,0.5,1,0.555555555555556,0.96969696969697,4.66666666666667,1,21,0.749391286571969,0.5,5,0.916666666666667,1,0.424242424242424,0.749391286571969,0.5,0.5,"pilot"
23,0.75,1,0.666666666666667,1,1.16666666666667,0.9375,38,0.177489950144402,0.8,8,0.041666666666668,0.900332225913621,0.939393939393939,0.177489950144402,0.875,0.8,"pilot"
24,0,0.75,0.222222222222222,0.96969696969697,3.16666666666667,0.864583333333333,21,0.46876503385837,0.166666666666667,5,0.541666666666668,0.784053156146179,0.424242424242424,0.46876503385837,0.5,0.166666666666667,"pilot"
25,0.75,0.5,0.777777777777778,0.96969696969697,3.66666666666667,1,25,0.295567422313989,0.5,4,0.666666666666668,1,0.545454545454545,0.295567422313989,0.375,0.5,"pilot"
26,0.583333333333333,0.666666666666667,0.444444444444444,0.96969696969697,4.16666666666667,0.984375,12,0.97936529059011,0.166666666666667,3,0.791666666666667,0.975083056478405,0.151515151515152,0.97936529059011,0.25,0.166666666666667,"pilot"
27,0.916666666666667,1,0.666666666666667,0.96969696969697,4.5,1,16,0.842222261741744,0.666666666666667,7,0.875,1,0.272727272727273,0.842222261741744,0.75,0.666666666666667,"pilot"
28,0.583333333333333,0.916666666666667,0.666666666666667,0.96969696969697,2.33333333333333,0.940625,27,0.789433920829753,0,3,0.333333333333332,0.90531561461794,0.606060606060606,0.789433920829753,0.25,0,"pilot"
